index,Code,Date,Type,Typeord,Qty,SellQuantity,BuyQuantity,UnitPrice,Amount,ContractNote,Dtdifference,GainAmount,Expenses,Taxable_GainLoss,SubTotalExpenses,SubTotalGainAmount,SubTotalTaxable_GainLoss
150,TMZ,2022-02-11,Buy,1,0,0,28087,0.071,1994.177,129806168,138.0,-1446.4804999999997,21.696656608328304,-1446.4804999999997,0.0,0.0,0.0
151,TMZ,2022-02-11,Buy,1,0,0,28571,0.07,1999.9700000000003,129809130,138.0,-1442.8355000000001,21.759999999999998,-1442.8355000000001,0.0,0.0,0.0
152,TMZ,2022-06-29,Sell,0,0,-366653,0,0.0195,-7149.7335,134838502,0.0,0.0,21.759999999999998,0.0,0.0,0.0,0.0
153,TMZ,2022-05-16,Sell,0,0,-82,0,0.028,-2.2960000000000003,133347542,0.0,0.0,2.51,0.0,0.0,0.0,0.0
154,UBI,2021-04-06,Totals,3,0,-1078,1078,0.0,0.0,0,0.0,0.0,0.0,0.0,21.82,328.7900000000001,328.7900000000001
155,UBI,2021-04-06,Buy,1,0,0,1078,0.5,539.0,116528815,245.0,328.7900000000001,10.91,328.7900000000001,0.0,0.0,0.0
156,UBI,2021-12-07,Sell,0,0,-1078,0,0.805,-867.7900000000001,127353742,0.0,0.0,10.91,0.0,0.0,0.0,0.0
157,WBT,2019-02-11,Totals,3,0,-15654,15654,0.0,0.0,0,0.0,0.0,0.0,0.0,123.71039999999999,40273.58499999999,20136.792499999996
158,WBT,2020-06-24,Buy,1,0,0,2188,0.265,579.82,101991365,530.0,5546.579999999999,10.91,2773.2899999999995,0.0,0.0,0.0
159,WBT,2020-05-14,Buy,1,0,0,1661,0.325,539.825,99719850,571.0,4110.974999999999,10.910000000000002,2055.4874999999997,0.0,0.0,0.0
160,WBT,2020-03-10,Buy,1,0,0,1650,0.315,519.75,96277580,636.0,4100.25,10.91,2050.125,0.0,0.0,0.0
161,WBT,2019-11-18,Buy,1,0,0,1644,0.41,674.04,93777681,749.0,3929.1599999999994,10.91,1964.5799999999997,0.0,0.0,0.0
162,WBT,2019-07-19,Buy,1,0,0,1000,0.52,520.0,91278324,871.0,2280.0,10.91,1140.0,0.0,0.0,0.0
163,WBT,2019-03-18,Buy,1,0,0,1511,0.38,574.18,89015630,994.0,3656.62,10.909999999999998,1828.31,0.0,0.0,0.0
164,WBT,2019-02-11,Buy,1,0,0,6000,0.025,150.0,88390243,1029.0,16650.0,0.8704,8325.0,0.0,0.0,0.0
165,WBT,2021-12-06,Sell,0,0,-15654,0,2.8,-43831.2,127298510,0.0,0.0,57.38,0.0,0.0,0.0,0.0
166,WES,2019-01-18,Totals,3,-9,-179,170,0.0,0.0,0,0.0,0.0,0.0,0.0,66.43,4476.030900000001,2238.0154500000003
167,WES,2019-01-18,Buy,1,0,0,77,32.23,2481.7099999999996,88035370,1053.0,2032.8000000000004,21.759999999999998,1016.4000000000002,0.0,0.0,0.0
168,WES,2019-01-18,Buy,1,0,0,93,32.3587,3009.3590999999997,88038174,1053.0,2443.2309000000005,12.0,1221.6154500000002,0.0,0.0,0.0
169,WES,2021-12-06,Sell,0,0,-179,0,58.63,-10494.77,127310807,0.0,0.0,32.67,0.0,0.0,0.0,0.0
